buemi,2011,17,76.358,76.3,76.3,6,10
kovalainen,2011,18,77.343,77.343,77.343,0,14
trulli,2011,19,77.381,77.381,77.381,0,13
alguersuari,2011,20,77.82,77.82,77.82,0,20
glock,2011,21,77.914,77.914,77.914,0,23
ambrosio,2011,22,78.736,78.736,78.736,0,15
webber,2010,1,75.035,74.462,73.826,53,1
kubica,2010,2,75.045,74.549,74.12,44,3
vettel,2010,3,75.11,74.568,74.227,60,2
massa,2010,4,74.757,74.405,74.283,49,4
hamilton,2010,5,75.676,74.527,74.432,49,5
rosberg,2010,6,75.188,74.375,74.544,50,7
michael_schumacher,2010,7,75.649,74.691,74.59,22,12
button,2010,8,75.623,75.15,74.637,70,23
barrichello,2010,9,75.59,75.083,74.901,7,18
liuzzi,2010,10,75.397,75.061,75.17,8,9
hulkenberg,2010,11,76.03,75.317,75.317,1,24
sutil,2010,12,75.445,75.318,75.318,16,8
buemi,2010,13,75.961,75.413,75.413,0,10
petrov,2010,14,75.482,75.576,75.576,6,13
rosa,2010,15,75.908,75.692,75.692,0,22
kobayashi,2010,16,76.175,75.992,75.992,0,19
alguersuari,2010,17,76.021,76.176,76.176,3,11
kovalainen,2010,18,77.094,77.094,77.094,0,16
trulli,2010,19,77.134,77.134,77.134,0,15
glock,2010,20,77.377,77.377,77.377,0,21
grassi,2010,21,77.864,77.864,77.864,0,20
bruno_senna,2010,22,78.509,78.509,78.509,0,17
chandhok,2010,23,79.559,79.559,79.559,0,14
webber,2010,1,75.035,74.462,73.826,53,1
kubica,2010,2,75.045,74.549,74.12,44,3
vettel,2010,3,75.11,74.568,74.227,60,2
massa,2010,4,74.757,74.405,74.283,49,4
hamilton,2010,5,75.676,74.527,74.432,49,5
rosberg,2010,6,75.188,74.375,74.544,50,7
michael_schumacher,2010,7,75.649,74.691,74.59,22,12
button,2010,8,75.623,75.15,74.637,70,23
barrichello,2010,9,75.59,75.083,74.901,7,18
liuzzi,2010,10,75.397,75.061,75.17,8,9
hulkenberg,2010,11,76.03,75.317,75.317,1,24
sutil,2010,12,75.445,75.318,75.318,16,8
buemi,2010,13,75.961,75.413,75.413,0,10
petrov,2010,14,75.482,75.576,75.576,6,13
rosa,2010,15,75.908,75.692,75.692,0,22
kobayashi,2010,16,76.175,75.992,75.992,0,19
alguersuari,2010,17,76.021,76.176,76.176,3,11
kovalainen,2010,18,77.094,77.094,77.094,0,16
trulli,2010,19,77.134,77.134,77.134,0,15
glock,2010,20,77.377,77.377,77.377,0,21
grassi,2010,21,77.864,77.864,77.864,0,20
bruno_senna,2010,22,78.509,78.509,78.509,0,17
chandhok,2010,23,79.559,79.559,79.559,0,14
massa,2008,1,75.19,75.11,75.787,28,3
raikkonen,2008,2,75.717,75.404,75.815,35,9
hamilton,2008,3,75.582,75.322,75.839,28,1
kovalainen,2008,4,75.295,75.389,76.165,14,8
kubica,2008,5,75.977,75.483,76.171,24,2
rosberg,2008,6,75.935,75.287,76.548,8,16
alonso,2008,7,76.646,75.827,76.852,9,10
trulli,2008,8,76.306,75.598,77.203,9,13
webber,2008,9,76.074,75.745,77.343,10,4
coulthard,2008,10,76.086,75.839,75.839,0,19
glock,2008,11,76.285,75.907,75.907,0,12
button,2008,12,76.259,76.101,76.101,3,11
heidfeld,2008,13,76.65,76.455,76.455,20,14
nakajima,2008,14,76.756,76.479,76.479,5,7
barrichello,2008,15,76.208,76.537,76.537,0,6
bourdais,2008,16,76.806,76.806,76.806,2,20
piquet_jr,2008,17,76.933,76.933,76.933,0,17
vettel,2008,18,76.955,76.955,76.955,0,5
sutil,2008,19,77.225,77.225,77.225,0,15
fisichella,2008,20,77.823,77.823,77.823,0,18
